,URL,Status,price,type,subtype,country,region,province,district,locality,postalCode,street,number,box,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,kitchen,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10664571,https://www.immoweb.be/en/classified/10664571,200,195000.0,HOUSE,HOUSE,Belgium,Wallonie,Walloon Brabant,Nivelles,Tubize,1480,Stéhoux (Centre),342,,,3.0,162.0,1930.0,4.0,,False,,,,,,482.0,False,False,,,0.0,,1.0,,,,,True,
10664570,https://www.immoweb.be/en/classified/10664570,200,75000.0,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Tournai,Leuze-En-Hainaut,7900,Rue de Tournai,32,,,3.0,167.0,1935.0,2.0,,,NOT_INSTALLED,True,27.0,True,4.0,170.0,False,,,,1.0,1.0,,,,516.0,G,True,
10664567,https://www.immoweb.be/en/classified/10664567,200,275000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Brugge,Assebroek,8310,Astridlaan,264,,,3.0,199.0,1933.0,2.0,,,INSTALLED,True,205.0,True,25.0,257.0,False,,,1.0,0.0,2.0,,,,401.0,E,True,
10664564,https://www.immoweb.be/en/classified/10664564,200,155000.0,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Roeselare,Roeselare,8800,Meensesteenweg,128,,0.0,1.0,,,2.0,,,INSTALLED,,,True,,,True,,,1.0,0.0,1.0,,,,283.0,C,True,
10664563,https://www.immoweb.be/en/classified/10664563,200,110000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Roeselare,Roeselare,8800,Meensesteenweg,126,,,2.0,,,2.0,,,INSTALLED,,,True,,0.0,True,,,1.0,0.0,1.0,,,,283.0,C,True,
10664561,https://www.immoweb.be/en/classified/10664561,200,210000.0,HOUSE,HOUSE,Belgium,Flanders,West Flanders,Kortrijk,Deerlijk,8540,Stationsplein,4,,,3.0,142.0,,2.0,,,INSTALLED,,,True,,235.0,True,,,1.0,0.0,2.0,,,,193.0,B,True,
10664559,https://www.immoweb.be/en/classified/10664559,200,145000.0,HOUSE,HOUSE,Belgium,Wallonie,Hainaut,Charleroi,Manage,7170,Rue Fernand Deltenre,51,,,2.0,110.0,,2.0,,,SEMI_EQUIPPED,True,85.0,True,10.0,135.0,True,,,1.0,0.0,1.0,2.0,,,288.0,D,,
10664558,https://www.immoweb.be/en/classified/10664558,200,219000.0,APARTMENT,APARTMENT,Belgium,Flanders,Antwerp,Antwerp,Wilrijk,2610,Hof van Tichelen,15,202,2.0,2.0,85.0,1961.0,2.0,2.0,False,HYPER_EQUIPPED,,,True,6.0,,False,False,,1.0,0.0,,,,,194.0,B,True,
10664554,https://www.immoweb.be/en/classified/10664554,200,229000.0,APARTMENT,APARTMENT,Belgium,Flanders,West Flanders,Kortrijk,Menen,8930,Arsenaalstraat,52,,0.0,3.0,78.0,,,1.0,,,,,True,,,False,,,1.0,0.0,1.0,1.0,,,764.0,F,True,
10664547,https://www.immoweb.be/en/classified/10664547,200,1995000.0,HOUSE,VILLA,Belgium,Flanders,Antwerp,Turnhout,Herentals,2200,,,,,5.0,,2016.0,4.0,,,HYPER_EQUIPPED,True,,True,,4496.0,False,True,,,0.0,,2.0,,,44.0,A,True,
